source_id,target_id,Source,Target,Region,Amount
DZA,BEL,Algeria,Belgium,Middle East and North Africa,1040768.161
DZA,BRA,Algeria,Brazil,Middle East and North Africa,1559184.561
DZA,CAN,Algeria,Canada,Middle East and North Africa,1306055.214
DZA,FRA,Algeria,France,Middle East and North Africa,3166818.93
DZA,DEU,Algeria,Germany,Middle East and North Africa,1192009.375
DZA,ITA,Algeria,Italy,Middle East and North Africa,4852450.616
DZA,NLD,Algeria,Netherlands,Middle East and North Africa,1077302.652
DZA,ESP,Algeria,Spain,Middle East and North Africa,4731520.861
DZA,TUR,Algeria,Turkey,Middle East and North Africa,1610586.949
DZA,USA,Algeria,United States,Middle East and North Africa,3358508.824
AGO,CHN,Angola,China,Sub-Saharan Africa,13927144.96
AGO,FRA,Angola,France,Sub-Saharan Africa,1025776.405
AGO,IND,Angola,India,Sub-Saharan Africa,1797159.565
AGO,ZAF,Angola,South Africa,Sub-Saharan Africa,1262325.802
AGO,USA,Angola,United States,Sub-Saharan Africa,2731731.55
AZE,ITA,Azerbaijan,Italy,Central and Northern Asia,2093127.289
ARG,DZA,Argentina,Algeria,South America,1280050.367
ARG,BRA,Argentina,Brazil,South America,2656478.25
ARG,CHN,Argentina,China,South America,4082949.237
ARG,IDN,Argentina,Indonesia,South America,1293835.289
ARG,MYS,Argentina,Malaysia,South America,1056759.897
ARG,IND,Argentina,India,South America,2393373.619
ARG,VNM,Argentina,Vietnam,South America,2525641.376
ARG,ESP,Argentina,Spain,South America,1404446.293
ARG,CHE,Argentina,Switzerland,South America,1092937.402
ARG,EGY,Argentina,Egypt,South America,1521861.861
ARG,USA,Argentina,United States,South America,1082678.703
AUS,CHN,Australia,China,Oceania,64468746.331
AUS,HKG,Australia,"China, Hong Kong SAR",Oceania,4659599.777
AUS,IDN,Australia,Indonesia,Oceania,2574161.713
AUS,JPN,Australia,Japan,Oceania,27948606.731
AUS,KOR,Australia,"Korea, Rep.",Oceania,14105629.116999999
AUS,MYS,Australia,Malaysia,Oceania,2531693.446
AUS,IND,Australia,India,Oceania,8918659.931
AUS,SGP,Australia,Singapore,Oceania,1258574.487
AUS,VNM,Australia,Vietnam,Oceania,1519767.455
AUS,THA,Australia,Thailand,Oceania,1128769.784
AUS,USA,Australia,United States,Oceania,2603352.882
AUT,DEU,Austria,Germany,Europe,5563873.8780000005
AUT,ITA,Austria,Italy,Europe,1212459.205
BHR,JPN,Bahrain,Japan,Middle East and North Africa,1032892.831
BHR,ARE,Bahrain,United Arab Emirates,Middle East and North Africa,1018081.608
BEL,FRA,Belgium,France,Europe,12800833.137
BEL,DEU,Belgium,Germany,Europe,13326629.586
BEL,HKG,Belgium,"China, Hong Kong SAR",Europe,1623538.072
BEL,ISR,Belgium,Israel,Europe,1027824.915
BEL,NLD,Belgium,Netherlands,Europe,14320187.916
BEL,NGA,Belgium,Nigeria,Europe,2728039.1
BEL,IND,Belgium,India,Europe,6593136.055
BEL,CHE,Belgium,Switzerland,Europe,1434659.241
BEL,ARE,Belgium,United Arab Emirates,Europe,2931816.048
BEL,GBR,Belgium,United Kingdom,Europe,4303782.96
BEL,USA,Belgium,United States,Europe,1326364.095
BOL,BRA,Bolivia,Brazil,South America,1290559.238
BWA,BEL,Botswana,Belgium,Sub-Saharan Africa,1931972.221
BWA,IND,Botswana,India,Sub-Saharan Africa,1000183.856
BWA,ARE,Botswana,United Arab Emirates,Sub-Saharan Africa,1196936.483
BRA,DZA,Brazil,Algeria,South America,1058793.267
BRA,BGD,Brazil,Bangladesh,South America,1033978.385
BRA,BEL,Brazil,Belgium,South America,1245099.989
BRA,CHL,Brazil,Chile,South America,1345663.227
BRA,CHN,Brazil,China,South America,39243347.00399999
BRA,FRA,Brazil,France,South America,1072168.329
BRA,DEU,Brazil,Germany,South America,4388658.668
BRA,HKG,Brazil,"China, Hong Kong SAR",South America,2190716.497
BRA,IDN,Brazil,Indonesia,South America,1670128.044
BRA,IRN,Brazil,Iran,South America,2126789.326
BRA,ITA,Brazil,Italy,South America,1347556.74
BRA,JPN,Brazil,Japan,South America,4752412.208000001
BRA,KOR,Brazil,"Korea, Rep.",South America,2776454.726
BRA,MYS,Brazil,Malaysia,South America,1110269.093
BRA,NLD,Brazil,Netherlands,South America,4376354.3
BRA,RUS,Brazil,Russian Federation,South America,2071261.285
BRA,SAU,Brazil,Saudi Arabia,South America,1843904.462
BRA,IND,Brazil,India,South America,1436533.123
BRA,VNM,Brazil,Vietnam,South America,1233187.185
BRA,ESP,Brazil,Spain,South America,1282708.796
BRA,THA,Brazil,Thailand,South America,1497676.897
BRA,ARE,Brazil,United Arab Emirates,South America,1130747.686
BRA,EGY,Brazil,Egypt,South America,1422821.186
BRA,USA,Brazil,United States,South America,10410591.477
BRN,JPN,Brunei Darussalam,Japan,Southeast Asia,1739989.341
MMR,CHN,Myanmar,China,Southeast Asia,3280068.952
MMR,THA,Myanmar,Thailand,Southeast Asia,3780619.528
BLR,RUS,Belarus,Russian Federation,Central and Northern Asia,2992295.262
BLR,UKR,Belarus,Ukraine,Central and Northern Asia,1874962.7
CAN,CHN,Canada,China,North America,11887648.952
CAN,JPN,Canada,Japan,North America,6090308.504
CAN,KOR,Canada,"Korea, Rep.",North America,1104924.152
CAN,MEX,Canada,Mexico,North America,1407743.419
CAN,IND,Canada,India,North America,1049964.643
CAN,GBR,Canada,United Kingdom,North America,9201608.724
CAN,USA,Canada,United States,North America,105781220.602
CHL,BRA,Chile,Brazil,South America,1261245.014
CHL,CHN,Chile,China,South America,17868246.583
CHL,JPN,Chile,Japan,South America,4444709.929
CHL,KOR,Chile,"Korea, Rep.",South America,3397409.44
CHL,IND,Chile,India,South America,1087748.42
CHL,ESP,Chile,Spain,South America,1010845.214
CHL,USA,Chile,United States,South America,6281192.894
CHN,AUS,China,Australia,China,1116114.017
CHN,BEL,China,Belgium,China,1161573.607
CHN,DEU,China,Germany,China,1605945.34
CHN,HKG,China,"China, Hong Kong SAR",China,15315664.853
CHN,IDN,China,Indonesia,China,4716703.744
CHN,ITA,China,Italy,China,2534865.7139999997
CHN,JPN,China,Japan,China,9400816.192
CHN,KOR,China,"Korea, Rep.",China,12708433.139999999
CHN,MYS,China,Malaysia,China,5102223.1219999995
CHN,PAK,China,Pakistan,China,1216727.01
CHN,PHL,China,Philippines,China,5366931.6280000005
CHN,RUS,China,Russian Federation,China,1391789.768
CHN,SAU,China,Saudi Arabia,China,1603657.716
CHN,IND,China,India,China,4500928.1850000005
CHN,SGP,China,Singapore,China,5931672.183
CHN,VNM,China,Vietnam,China,10845076.033
CHN,THA,China,Thailand,China,6173623.764
CHN,ARE,China,United Arab Emirates,China,1056327.479
CHN,TUR,China,Turkey,China,1237837.13
CHN,USA,China,United States,China,10797382.778
COL,CHN,Colombia,China,South America,1617749.852
COL,PAN,Colombia,Panama,South America,1539394.279
COL,USA,Colombia,United States,South America,10794300.179
COG,CHN,"Congo, Rep.",China,Sub-Saharan Africa,2145140.3
COD,CHN,"Congo, Dem. Rep.",China,Sub-Saharan Africa,1938084.711
CRI,USA,Costa Rica,United States,Caribbean and Central America,1692332.514
CZE,DEU,Czech Rep.,Germany,Europe,2749807.389
DNK,CHN,Denmark,China,Europe,1380439.339
DNK,DEU,Denmark,Germany,Europe,2449389.302
DNK,SWE,Denmark,Sweden,Europe,2958137.265
DNK,GBR,Denmark,United Kingdom,Europe,1136102.406
ECU,RUS,Ecuador,Russian Federation,South America,1062308.893
ECU,VNM,Ecuador,Vietnam,South America,1113655.555
ECU,USA,Ecuador,United States,South America,5277462.575
FIN,DEU,Finland,Germany,Europe,1646931.932
FIN,NLD,Finland,Netherlands,Europe,1546528.474
FIN,SWE,Finland,Sweden,Europe,1215518.293
FRA,DZA,France,Algeria,Europe,1066682.429
FRA,BEL,France,Belgium,Europe,8542228.050999999
FRA,CHN,France,China,Europe,1244406.034
FRA,DEU,France,Germany,Europe,9060890.449000001
FRA,ITA,France,Italy,Europe,7466215.619000001
FRA,NLD,France,Netherlands,Europe,3638753.376
FRA,ESP,France,Spain,Europe,6387519.837
FRA,CHE,France,Switzerland,Europe,2150347.011
FRA,GBR,France,United Kingdom,Europe,2394501.971
GAB,CHN,Gabon,China,Sub-Saharan Africa,1059712.388
DEU,AUT,Germany,Austria,Europe,8585972.032
DEU,BEL,Germany,Belgium,Europe,7426816.464
DEU,CHN,Germany,China,Europe,3761917.359
DEU,CZE,Germany,Czech Rep.,Europe,3514796.1890000002
DEU,DNK,Germany,Denmark,Europe,1841693.35
DEU,FRA,Germany,France,Europe,10130226.833999999
DEU,ITA,Germany,Italy,Europe,8527198.931
DEU,NLD,Germany,Netherlands,Europe,14778072.988
DEU,POL,Germany,Poland,Europe,7153235.657
DEU,ESP,Germany,Spain,Europe,2799970.93
DEU,SWE,Germany,Sweden,Europe,1342807.053
DEU,CHE,Germany,Switzerland,Europe,7869421.893999999
DEU,TUR,Germany,Turkey,Europe,1115895.443
DEU,GBR,Germany,United Kingdom,Europe,6198360.368000001
DEU,USA,Germany,United States,Europe,4185100.181
GHA,IND,Ghana,India,Sub-Saharan Africa,1076146.026
GHA,CHE,Ghana,Switzerland,Sub-Saharan Africa,2313379.62
GHA,ARE,Ghana,United Arab Emirates,Sub-Saharan Africa,1819371.219
GRC,ITA,Greece,Italy,Europe,1087531.74
GRC,LBN,Greece,Lebanon,Europe,1043824.596
GTM,USA,Guatemala,United States,Caribbean and Central America,1971830.684
GIN,ARE,Guinea,United Arab Emirates,Sub-Saharan Africa,1073630.241
HKG,CHN,"China, Hong Kong SAR",China,China,29824116.889
HKG,ISR,"China, Hong Kong SAR",Israel,China,1206201.301
HKG,IND,"China, Hong Kong SAR",India,China,3366267.136
HKG,VNM,"China, Hong Kong SAR",Vietnam,China,1914236.538
HKG,CHE,"China, Hong Kong SAR",Switzerland,China,6347193.678
HKG,THA,"China, Hong Kong SAR",Thailand,China,2847788.106
HKG,ARE,"China, Hong Kong SAR",United Arab Emirates,China,1861821.606
HKG,GBR,"China, Hong Kong SAR",United Kingdom,China,4800462.861
HKG,USA,"China, Hong Kong SAR",United States,China,1997484.095
IDN,CHN,Indonesia,China,Southeast Asia,14527328.546
IDN,JPN,Indonesia,Japan,Southeast Asia,10058366.689
IDN,KOR,Indonesia,"Korea, Rep.",Southeast Asia,3278571.424
IDN,MYS,Indonesia,Malaysia,Southeast Asia,2969348.81
IDN,NLD,Indonesia,Netherlands,Southeast Asia,1124232.973
IDN,PAK,Indonesia,Pakistan,Southeast Asia,1525039.12
IDN,IND,Indonesia,India,Southeast Asia,9595239.147
IDN,SGP,Indonesia,Singapore,Southeast Asia,4720639.637
IDN,CHE,Indonesia,Switzerland,Southeast Asia,1790703.35
IDN,THA,Indonesia,Thailand,Southeast Asia,1780712.949
IDN,USA,Indonesia,United States,Southeast Asia,3878764.276
IRN,CHN,Iran,China,Middle East and North Africa,11537286.824000001
IRN,FRA,Iran,France,Middle East and North Africa,1447944.017
IRN,JPN,Iran,Japan,Middle East and North Africa,3286910.914
IRN,KOR,Iran,"Korea, Rep.",Middle East and North Africa,4565307.84
IRN,IND,Iran,India,Middle East and North Africa,6780455.731
IRQ,CHN,Iraq,China,Middle East and North Africa,10660586.65
IRQ,GRC,Iraq,Greece,Middle East and North Africa,2617605.89
IRQ,ITA,Iraq,Italy,Middle East and North Africa,3244662.53
IRQ,JPN,Iraq,Japan,Middle East and North Africa,1085948.998
IRQ,KOR,Iraq,"Korea, Rep.",Middle East and North Africa,5035186.26
IRQ,NLD,Iraq,Netherlands,Middle East and North Africa,1795137.463
IRQ,IND,Iraq,India,Middle East and North Africa,9899394.733
IRQ,ESP,Iraq,Spain,Middle East and North Africa,1375520.79
IRQ,ARE,Iraq,United Arab Emirates,Middle East and North Africa,1651914.56
IRQ,USA,Iraq,United States,Middle East and North Africa,6315363.013
IRL,GBR,Ireland,United Kingdom,Europe,3004489.246
ISR,HKG,Israel,"China, Hong Kong SAR",Middle East and North Africa,3280091.07
ISR,IND,Israel,India,Middle East and North Africa,1215854.217
ISR,USA,Israel,United States,Middle East and North Africa,6626968.678
ITA,AUT,Italy,Austria,Europe,1033415.9
ITA,FRA,Italy,France,Europe,4841898.02
ITA,DEU,Italy,Germany,Europe,8096348.375
ITA,ESP,Italy,Spain,Europe,3688276.403
ITA,CHE,Italy,Switzerland,Europe,3026297.296
ITA,GBR,Italy,United Kingdom,Europe,1350335.307
ITA,USA,Italy,United States,Europe,1753307.426
CIV,NLD,Cote d'Ivoire,Netherlands,Sub-Saharan Africa,1286984.883
CIV,USA,Cote d'Ivoire,United States,Sub-Saharan Africa,1139211.798
JPN,AUS,Japan,Australia,East Asia excluding China,1879975.585
JPN,CHN,Japan,China,East Asia excluding China,11564661.216
JPN,HKG,Japan,"China, Hong Kong SAR",East Asia excluding China,1887591.441
JPN,IDN,Japan,Indonesia,East Asia excluding China,1756870.458
JPN,KOR,Japan,"Korea, Rep.",East Asia excluding China,8001394.101
JPN,MYS,Japan,Malaysia,East Asia excluding China,1372153.607
JPN,MEX,Japan,Mexico,East Asia excluding China,1414608.726
JPN,IND,Japan,India,East Asia excluding China,1162681.295
JPN,SGP,Japan,Singapore,East Asia excluding China,2446460.494
JPN,VNM,Japan,Vietnam,East Asia excluding China,1757989.153
JPN,THA,Japan,Thailand,East Asia excluding China,4635224.257
JPN,GBR,Japan,United Kingdom,East Asia excluding China,2841294.654
JPN,USA,Japan,United States,East Asia excluding China,2303540.157
KAZ,CHN,Kazakhstan,China,Central and Northern Asia,3537195.376
KAZ,FRA,Kazakhstan,France,Central and Northern Asia,2045968.921
KAZ,DEU,Kazakhstan,Germany,Central and Northern Asia,2338321.134
KAZ,GRC,Kazakhstan,Greece,Central and Northern Asia,1053511.892
KAZ,ITA,Kazakhstan,Italy,Central and Northern Asia,4744903.795
KAZ,NLD,Kazakhstan,Netherlands,Central and Northern Asia,1451462.13
KAZ,RUS,Kazakhstan,Russian Federation,Central and Northern Asia,1847138.185
KAZ,TUR,Kazakhstan,Turkey,Central and Northern Asia,1037162.421
PRK,CHN,"Korea, Dem. Rep.",China,East Asia excluding China,1187109.758
KOR,AUS,"Korea, Rep.",Australia,East Asia excluding China,2874739.156
KOR,CHN,"Korea, Rep.",China,East Asia excluding China,12759040.050999999
KOR,HKG,"Korea, Rep.","China, Hong Kong SAR",East Asia excluding China,2158226.412
KOR,IDN,"Korea, Rep.",Indonesia,East Asia excluding China,1004998.208
KOR,JPN,"Korea, Rep.",Japan,East Asia excluding China,6993257.3379999995
KOR,MYS,"Korea, Rep.",Malaysia,East Asia excluding China,1056419.981
KOR,MEX,"Korea, Rep.",Mexico,East Asia excluding China,1092426.239
KOR,IND,"Korea, Rep.",India,East Asia excluding China,2446249.67
KOR,SGP,"Korea, Rep.",Singapore,East Asia excluding China,3103701.772
KOR,VNM,"Korea, Rep.",Vietnam,East Asia excluding China,3197840.493
KOR,THA,"Korea, Rep.",Thailand,East Asia excluding China,1786319.164
KOR,USA,"Korea, Rep.",United States,East Asia excluding China,4935403.429
KWT,CHN,Kuwait,China,Middle East and North Africa,5353695.863
KWT,ETH,Kuwait,Ethiopia,Middle East and North Africa,1060634.04
KWT,JPN,Kuwait,Japan,Middle East and North Africa,4232676.666
KWT,KOR,Kuwait,"Korea, Rep.",Middle East and North Africa,7233932.497
KWT,PHL,Kuwait,Philippines,Middle East and North Africa,1007324.631
KWT,IND,Kuwait,India,Middle East and North Africa,3123313.913
KWT,SGP,Kuwait,Singapore,Middle East and North Africa,2245820.546
KWT,USA,Kuwait,United States,Middle East and North Africa,3315095.948
LBY,ITA,Libya,Italy,Middle East and North Africa,1969556.788
LBY,ARE,Libya,United Arab Emirates,Middle East and North Africa,2790904.994
MYS,AUS,Malaysia,Australia,Southeast Asia,2795523.136
MYS,CHN,Malaysia,China,Southeast Asia,8273233.687
MYS,IDN,Malaysia,Indonesia,Southeast Asia,2099784.97
MYS,JPN,Malaysia,Japan,Southeast Asia,5684904.694
MYS,KOR,Malaysia,"Korea, Rep.",Southeast Asia,1905366.185
MYS,IND,Malaysia,India,Southeast Asia,4733733.908000001
MYS,SGP,Malaysia,Singapore,Southeast Asia,7223025.741
MYS,VNM,Malaysia,Vietnam,Southeast Asia,1339244.153
MYS,THA,Malaysia,Thailand,Southeast Asia,1706625.764
MLI,ZAF,Mali,South Africa,Sub-Saharan Africa,1328821.188
MLI,ARE,Mali,United Arab Emirates,Sub-Saharan Africa,1493233.841
MRT,CHN,Mauritania,China,Sub-Saharan Africa,1088434.188
MEX,CAN,Mexico,Canada,North America,1009328.724
MEX,CHN,Mexico,China,North America,2068170.059
MEX,JPN,Mexico,Japan,North America,1271017.015
MEX,IND,Mexico,India,North America,1599839.311
MEX,ESP,Mexico,Spain,North America,2123147.015
